cell,cm,cc,n,crpss,lat,lon
g-37p1_175p2,0.40261433157189674,0.8778956117217118,1200,0.5413870098037086,-37.1,175.2
g-37p1_175p3,0.4202846657785572,0.9052957359049469,1200,0.5357487624102919,-37.1,175.3
g-37p1_175p6,0.26160924484851805,0.8166169725467141,1200,0.679642655438988,-37.1,175.6
g-37p1_175p7,0.28660966986888425,0.7701992508412029,1200,0.6278759430681704,-37.1,175.7
g-37p1_175p8,0.4523327239682878,0.9548904339317232,1200,0.5262988214199342,-37.1,175.8
g-37p1_175p9,0.2730807535815587,0.7708677046544229,1200,0.64574887242944,-37.1,175.9
g-37p2_174p6,0.3957858884507385,0.7405404701502993,1200,0.4655445523856243,-37.2,174.6
g-37p2_174p7,0.32846478964894954,0.6997158489158998,1200,0.5305740320762287,-37.2,174.7
g-37p2_174p8,0.16208149138894273,0.6896154361978795,1200,0.7649682955437285,-37.2,174.8
g-37p2_174p9,0.22234162703226654,0.6656296688566605,1200,0.6659679737320325,-37.2,174.9
g-37p2_175p0,0.34929413125485703,0.8033495805397008,1200,0.5652028211427003,-37.2,175.0
g-37p2_175p1,0.2655173858850194,0.7330456815551346,1200,0.6377887591920164,-37.2,175.1
g-37p2_175p2,0.34081411135414785,0.8055771885281164,1198,0.5769317748720579,-37.2,175.2
g-37p2_175p3,0.22154311376108757,0.6978448248918478,1200,0.6825324114205155,-37.2,175.3
g-37p2_175p4,0.2585254253454576,0.7173217305804913,1200,0.6395962727404809,-37.2,175.4
g-37p2_175p5,0.45597235429795424,0.897827495286862,1200,0.4921381259856962,-37.2,175.5
g-37p2_175p6,0.2781544020137549,0.8105282692999268,1200,0.6568233181379304,-37.2,175.6
g-37p2_175p7,0.1878362467216828,0.7651521057464803,1200,0.7545112333730948,-37.2,175.7
g-37p2_175p8,0.36237960617952025,0.7827929705567658,1200,0.5370683950805335,-37.2,175.8
g-37p3_174p7,0.41459270353252625,0.8518355965071047,1200,0.5132949301102981,-37.3,174.7
g-37p3_174p8,0.21263807097657772,0.7437987393901373,1200,0.714118806989474,-37.3,174.8
g-37p3_174p9,0.4257242706922686,0.8081166445308675,1200,0.4731895777998577,-37.3,174.9
